DOH_Reg_Office,Fac_County,Fac_ID,Fac_Type,Fac_Name,Week_End_Report_Date,Week_End_Report_Count,Confirmed_In_Facility,Confirmed_Out_Of_Facility,Presumed_In_Facility
Metropolitan Area Regional Office - Long Island,NASSAU,400-E-290,AL,THE REGENCY AT GLEN COVE,04/21/2020,2,0,2,0
Metropolitan Area Regional Office - New Rochelle,PUTNAM,580-F-001,AL,THE PLAZA AT CLOVER LAKE,04/21/2020,1,0,1,0
Metropolitan Area Regional Office - Long Island,NASSAU,400-F-333,AL,ROSEWOOD ON THE SOUND,04/21/2020,2,1,5,0
Metropolitan Area Regional Office - New York City,QUEENS,590-S-305,AL,BRANDYWINE ASSISTED LIVING AT THE SAVOY,04/21/2020,3,4,6,1
Western Regional Office - Buffalo,NIAGARA,500-S-002,AL,BROOKDALE NIAGARA ASSISTED LIVING,04/21/2020,1,0,1,0
Metropolitan Area Regional Office - New Rochelle,ORANGE,540-F-036,AL,BRAEMAR LIVING AT WALLKILL,04/21/2020,1,0,1,0
Metropolitan Area Regional Office - New York City,NEW YORK,420-F-379,AL,THE 80TH STREET RESIDENCE,04/21/2020,2,0,0,4
Metropolitan Area Regional Office - Long Island,NASSAU,400-F-335,AL,THE BRISTAL AT LYNBROOK,04/21/2020,2,0,15,0
Metropolitan Area Regional Office - Long Island,NASSAU,400-F-328,AL,SUNRISE OF NORTH LYNBROOK,04/21/2020,2,0,7,0
Metropolitan Area Regional Office - Long Island,NASSAU,400-F-337,AL,THE BRISTAL AT LAKE SUCCESS,04/21/2020,2,0,3,0
Metropolitan Area Regional Office - Long Island,NASSAU,400-S-326,AL,ATRIA PARK OF GREAT NECK,04/21/2020,3,3,10,0
Metropolitan Area Regional Office - Long Island,NASSAU,400-F-327,AL,SUNRISE OF GLEN COVE,04/21/2020,1,0,1,2
Metropolitan Area Regional Office - Long Island,NASSAU,400-F-322,AL,SUNRISE OF EAST MEADOW,04/21/2020,1,0,6,0
Metropolitan Area Regional Office - Long Island,NASSAU,400-F-305,AL,HARBOR HOUSE,04/21/2020,3,2,2,0
Metropolitan Area Regional Office - New York City,QUEENS,590-S-315,AL,ATRIA KEW GARDENS,04/21/2020,1,0,2,0
Metropolitan Area Regional Office - Long Island,NASSAU,400-S-330,AL,THE BRISTAL AT GARDEN CITY,04/21/2020,1,0,7,0
Central New York Regional Office,BROOME,030-E-008,AL,HILLTOP MANOR WEST,04/21/2020,1,0,1,0
Metropolitan Area Regional Office - New York City,KINGS,331-F-288,AL,THE BELVEDERE,04/21/2020,1,1,2,1
Metropolitan Area Regional Office - New York City,BRONX,020-S-001,AL,ATRIA RIVERDALE,04/21/2020,1,1,9,0
Metropolitan Area Regional Office - New York City,KINGS,331-F-272,AL,THE WATERFORD ON THE BAY,04/21/2020,3,2,5,1
Western Regional Office - Buffalo,ERIE,240-S-109,AL,PEREGRINE'S LANDING SENIOR COMMUNITY,04/21/2020,1,0,1,0
Metropolitan Area Regional Office - New York City,KINGS,331-S-011,AL,SUNRISE AT MILL BASIN,04/21/2020,1,0,1,0
Metropolitan Area Regional Office - New York City,KINGS,331-S-012,AL,SUNRISE AT SHEEPSHEAD BAY,04/21/2020,2,0,7,0
Western Regional Office - Buffalo,ERIE,240-F-884,AL,ORCHARD HEIGHTS,04/21/2020,1,0,1,0
Metropolitan Area Regional Office - New Rochelle,DUTCHESS,230-F-066,AL,THE INN AT MILLBROOK,04/21/2020,2,0,2,0
Metropolitan Area Regional Office - New York City,BRONX,001277,NH,EAST HAVEN NURSING & REHABILITATION CENTER,04/21/2020,2,3,12,6
Metropolitan Area Regional Office - New York City,BRONX,003993,NH,MANHATTANVILLE HEALTH CARE CENTER,04/21/2020,2,3,7,1
Western Regional Office - Buffalo,ERIE,000278,NH,"ABSOLUT CENTER FOR NURSING AND REHABILITATION AT AURORA PARK, LLC",04/21/2020,1,0,1,0
Metropolitan Area Regional Office - New York City,KINGS,001407,NH,CROWN HEIGHTS CENTER FOR NURSING AND REHABILITATION,04/21/2020,3,0,2,6
Metropolitan Area Regional Office - New York City,KINGS,001393,NH,THE HERITAGE REHABILITATION AND HEALTH CARE CENTER,04/21/2020,1,0,0,1
Western Regional Office - Buffalo,ERIE,000252,NH,ST CATHERINE LABOURE HEALTH CARE CENTER,04/21/2020,1,0,2,0
Metropolitan Area Regional Office - New York City,BRONX,001224,NH,SCHERVIER NURSING CARE CENTER,04/21/2020,3,3,15,32
Metropolitan Area Regional Office - New York City,KINGS,001401,NH,SEA CREST NURSING AND REHABILITATION CENTER,04/21/2020,3,1,2,9
Metropolitan Area Regional Office - New York City,KINGS,007665,NH,LINDEN CENTER FOR NURSING AND REHABILITATION,04/21/2020,2,4,0,18
Metropolitan Area Regional Office - New York City,KINGS,001361,NH,HAYM SOLOMON HOME FOR THE AGED,04/21/2020,3,0,0,38
Capital District Regional Office,ALBANY,000030,NH,SHAKER PLACE REHABILITATION AND NURSING CENTER,04/21/2020,1,2,0,0
Western Regional Office - Buffalo,ERIE,000281,NH,JENNIE B RICHMOND CHAFFEE NURSING HOME COMPANY INC,04/21/2020,1,0,1,0
Metropolitan Area Regional Office - New York City,KINGS,001373,NH,SEAGATE REHABILITATION AND NURSING CENTER,04/21/2020,3,1,0,17
Metropolitan Area Regional Office - New York City,KINGS,001383,NH,THE CHATEAU AT BROOKLYN REHABILITATION AND NURSING CENTER,04/21/2020,3,0,2,2
Western Regional Office - Buffalo,ERIE,000288,NH,BEECHWOOD HOMES,04/21/2020,1,0,1,0
Metropolitan Area Regional Office - New York City,KINGS,001398,NH,SHEEPSHEAD NURSING & REHABILITATION CENTER,04/21/2020,2,3,38,3
Western Regional Office - Buffalo,ERIE,003012,NH,BUFFALO CENTER FOR REHABILITATION AND NURSING,04/21/2020,3,7,2,0
Metropolitan Area Regional Office - New York City,KINGS,005546,NH,HOPKINS CENTER FOR REHABILITATION AND HEALTHCARE,04/21/2020,2,2,30,15
Metropolitan Area Regional Office - New York City,BRONX,001260,NH,PINNACLE MULTICARE NURSING AND REHABILITATION CENTER,04/21/2020,3,0,12,0
Metropolitan Area Regional Office - New York City,KINGS,001368,NH,BROOKLYN UNITED METHODIST CHURCH HOME,04/21/2020,3,1,0,12
Metropolitan Area Regional Office - New York City,BRONX,004501,NH,BRONXCARE SPECIAL CARE CENTER,04/21/2020,2,6,14,1
Metropolitan Area Regional Office - New York City,BRONX,005567,NH,CASA PROMESA,04/21/2020,1,0,9,0
Metropolitan Area Regional Office - New York City,KINGS,001404,NH,CONCORD NURSING AND REHABILITATION CENTER,04/21/2020,1,2,1,0
Metropolitan Area Regional Office - New York City,KINGS,001405,NH,THE PHOENIX REHABILITATION AND NURSING CENTER,04/21/2020,3,16,1,21
Western Regional Office - Buffalo,ERIE,003455,NH,"HARRIS HILL NURSING FACILITY, LLC",04/21/2020,5,13,0,2
Metropolitan Area Regional Office - New York City,KINGS,004037,NH,BUSHWICK CENTER FOR REHABILITATION AND HEALTH CARE,04/21/2020,2,2,1,2
Metropolitan Area Regional Office - New York City,BRONX,001219,NH,WORKMEN'S CIRCLE MULTICARE CENTER,04/21/2020,3,1,0,6
Metropolitan Area Regional Office - New Rochelle,DUTCHESS,000193,NH,"NORTHERN DUTCHESS RES HEALTH CARE FACILITY, INC",04/21/2020,1,1,1,0
Western Regional Office - Buffalo,ERIE,004898,NH,FATHER BAKER MANOR,04/21/2020,3,14,1,0
Metropolitan Area Regional Office - New York City,BRONX,001231,NH,EASTCHESTER REHABILITATION AND HEALTH CARE CENTER,04/21/2020,2,0,3,0
Metropolitan Area Regional Office - New York City,BRONX,001221,NH,METHODIST HOME FOR NURSING AND REHABILITATION,04/21/2020,2,6,1,0
Capital District Regional Office,COLUMBIA,000152,NH,PINE HAVEN HOME,04/21/2020,3,4,5,3
Capital District Regional Office,ALBANY,004755,NH,OUR LADY OF MERCY LIFE CENTER,04/21/2020,1,1,0,0
Metropolitan Area Regional Office - New York City,BRONX,001242,NH,REGEIS CARE CENTER,04/21/2020,3,2,3,4
Metropolitan Area Regional Office - New Rochelle,DUTCHESS,000189,NH,THE GRAND REHABILITATION AND NURSING AT PAWLING,04/21/2020,3,2,3,7
Metropolitan Area Regional Office - New York City,BRONX,001218,NH,BETH ABRAHAM CENTER FOR REHABILITATION AND NURSING,04/21/2020,3,4,22,14
Metropolitan Area Regional Office - New York City,BRONX,001217,NH,ST PATRICKS HOME,04/21/2020,2,19,0,14
Capital District Regional Office,ALBANY,000033,NH,THE GRAND REHABILITATION AND NURSING AT GUILDERLAND,04/21/2020,1,0,2,0
Metropolitan Area Regional Office - New York City,BRONX,001212,NH,HEBREW HOME FOR THE AGED AT RIVERDALE,04/21/2020,4,2,2,0
Metropolitan Area Regional Office - New York City,KINGS,001369,NH,"NY CONGREGATIONAL NURSING CENTER, INC",04/21/2020,2,4,23,32
Metropolitan Area Regional Office - New York City,BRONX,001252,NH,MORNINGSIDE NURSING AND REHABILITATION CENTER,04/21/2020,2,3,0,9
Metropolitan Area Regional Office - New York City,KINGS,001376,NH,SCHULMAN AND SCHACHNE INSTITUTE FOR NURSING AND REHABILITATION,04/21/2020,4,1,8,18
Metropolitan Area Regional Office - New York City,BRONX,001226,NH,GOLD CREST CARE CENTER,04/21/2020,2,3,12,7
Metropolitan Area Regional Office - New York City,BRONX,001251,NH,BRONX CENTER FOR REHABILITATION & HEALTH CARE,04/21/2020,1,4,8,12
Metropolitan Area Regional Office - New York City,BRONX,001253,NH,"CONCOURSE REHABILITATION AND NURSING CENTER, INC",04/21/2020,2,5,1,16
Central New York Regional Office,BROOME,009514,NH,VESTAL PARK REHABILITATION AND NURSING CENTER,04/21/2020,3,2,0,1
Metropolitan Area Regional Office - New York City,BRONX,001216,NH,"PROVIDENCE REST, INC.",04/21/2020,3,3,0,10
Metropolitan Area Regional Office - New York City,BRONX,004543,NH,ST VINCENT DEPAUL RESIDENCE,04/21/2020,3,19,8,0
Western Regional Office - Buffalo,ERIE,000300,NH,SENECA HEALTH CARE CENTER,04/21/2020,2,6,1,0
Metropolitan Area Regional Office - New York City,KINGS,001400,NH,SPRING CREEK REHABILITATION & NURSING CARE CENTER,04/21/2020,3,2,1,9
Metropolitan Area Regional Office - New York City,BRONX,001250,NH,KINGS HARBOR MULTICARE CENTER,04/21/2020,4,43,0,7
Metropolitan Area Regional Office - New York City,KINGS,001379,NH,"NEW CARLTON REHAB AND NURSING CENTER, LLC",04/21/2020,2,0,7,0
Metropolitan Area Regional Office - New York City,KINGS,001316,NH,"RUTLAND NURSING HOME, INC.",04/21/2020,3,11,7,32
Metropolitan Area Regional Office - New York City,BRONX,001243,NH,SPLIT ROCK REHABILITATION AND HEALTH CARE CENTER,04/21/2020,2,4,11,8
Metropolitan Area Regional Office - New York City,BRONX,001232,NH,HUDSON POINTE AT RIVERDALE CENTER FOR NURSING AND REHABILITATION,04/21/2020,3,3,2,10
Metropolitan Area Regional Office - New York City,BRONX,001227,NH,BAINBRIDGE NURSING & REHABILITATION CENTER,04/21/2020,1,2,6,7
Metropolitan Area Regional Office - New York City,KINGS,001392,NH,PALM GARDENS CENTER FOR NURSING AND REHABILITATION,04/21/2020,1,2,6,0
Metropolitan Area Regional Office - New Rochelle,DUTCHESS,000201,NH,FISHKILL CENTER FOR REHABILITATION AND NURSING,04/21/2020,1,1,0,0
Metropolitan Area Regional Office - New York City,KINGS,003227,NH,FOUR SEASONS NURSING AND REHABILITATION CENTER,04/21/2020,1,0,0,1
Western Regional Office - Buffalo,ERIE,000266,NH,"SAFIRE REHABILITATION OF NORTHTOWNS, LLC",04/21/2020,3,0,2,4
Metropolitan Area Regional Office - New York City,BRONX,000856,NH,GRAND MANOR NURSING & REHABILITATION CENTER,04/21/2020,1,1,0,0
Metropolitan Area Regional Office - New Rochelle,DUTCHESS,000194,NH,FERNCLIFF NURSING HOME CO INC,04/21/2020,3,8,3,1
Metropolitan Area Regional Office - New York City,BRONX,001248,NH,LACONIA NURSING HOME,04/21/2020,2,0,8,7
Western Regional Office - Buffalo,ERIE,000244,NH,HUMBOLDT HOUSE REHABILITATION AND NURSING CENTER,04/21/2020,3,2,3,0
Western Regional Office - Buffalo,ERIE,004772,NH,ROSA COPLON JEWISH HOME AND INFIRMARY,04/21/2020,1,2,0,0
Metropolitan Area Regional Office - New York City,KINGS,001403,NH,BORO PARK CENTER FOR REHABILITATION AND HEALTHCARE,04/21/2020,3,7,30,21
Metropolitan Area Regional Office - New York City,BRONX,001233,NH,FIELDSTON LODGE CARE CENTER,04/21/2020,2,1,0,14
Metropolitan Area Regional Office - New York City,KINGS,001391,NH,OXFORD NURSING HOME,04/21/2020,2,4,0,5
Metropolitan Area Regional Office - New York City,KINGS,007279,NH,DR SUSAN SMITH MCKINNEY NURSING AND REHABILITATION CENTER,04/21/2020,3,3,8,18
Metropolitan Area Regional Office - New York City,BRONX,001245,NH,PELHAM PARKWAY NURSING CARE AND REHABILITATION FACILITY LLC,04/21/2020,2,2,4,10
Metropolitan Area Regional Office - New York City,KINGS,007069,NH,BROOKLYN GARDENS NURSING & REHABILITATION CENTER,04/21/2020,2,0,6,6
Western Regional Office - Buffalo,ERIE,000294,NH,GARDEN GATE HEALTH CARE FACILITY,04/21/2020,3,12,5,0
Western Regional Office - Buffalo,ERIE,000282,NH,FIDDLERS GREEN MANOR REHABILITATION AND NURSING CENTER,04/21/2020,2,3,0,0
Western Regional Office - Buffalo,ERIE,002815,NH,ELDERWOOD AT WILLIAMSVILLE,04/21/2020,1,0,1,0
Metropolitan Area Regional Office - New York City,KINGS,001374,NH,NORWEGIAN CHRISTIAN HOME AND HEALTH CENTER,04/21/2020,4,1,3,5
Metropolitan Area Regional Office - New York City,KINGS,001395,NH,BROOKLYN CENTER FOR REHABILITATION AND RESIDENTIAL HEALTH CARE,04/21/2020,4,2,5,11
Metropolitan Area Regional Office - New York City,BRONX,001223,NH,REBEKAH REHAB AND EXTENDED CARE CENTER,04/21/2020,2,0,3,17
Metropolitan Area Regional Office - New York City,BRONX,004887,NH,BRONX GARDENS REHABILITATION AND NURSING CENTER,04/21/2020,3,2,14,13
Metropolitan Area Regional Office - New York City,BRONX,001258,NH,FORDHAM NURSING AND REHABILITATION CENTER,04/21/2020,2,1,14,0
Metropolitan Area Regional Office - New York City,BRONX,001241,NH,RIVERDALE NURSING HOME,04/21/2020,5,0,7,2
Metropolitan Area Regional Office - New York City,BRONX,001235,NH,MORRIS PARK REHABILITATION AND NURSING CENTER,04/21/2020,2,1,8,15
Western Regional Office - Buffalo,ERIE,000232,NH,ELDERWOOD AT AMHERST,04/21/2020,2,2,1,0
Metropolitan Area Regional Office - New York City,KINGS,001408,NH,DOWNTOWN BROOKLYN NURSING & REHABILITATION CENTER,04/21/2020,2,5,2,3
Metropolitan Area Regional Office - New York City,BRONX,001247,NH,WILLIAMSBRIDGE CENTER FOR REHABILITATION AND NURSING,04/21/2020,1,0,6,1
Metropolitan Area Regional Office - New York City,KINGS,002539,NH,MENORAH HOME & HOSPITAL FOR AGED & INFIRM,04/21/2020,4,4,8,29
Metropolitan Area Regional Office - New York City,KINGS,001399,NH,SHORE VIEW NURSING & REHABILITATION CENTER,04/21/2020,3,18,5,1
Metropolitan Area Regional Office - New York City,BRONX,001238,NH,PARK GARDENS REHABILITATION & NURSING CENTER LLC,04/21/2020,2,3,11,2
Metropolitan Area Regional Office - New York City,BRONX,001244,NH,UNIVERSITY CENTER FOR REHABILITATION AND NURSING,04/21/2020,2,1,0,2
Metropolitan Area Regional Office - New York City,KINGS,006248,NH,BUENA VIDA CONTINUING CARE & REHAB CENTER,04/21/2020,2,0,1,0
Metropolitan Area Regional Office - New York City,KINGS,000277,NH,BROOKLYN-QUEENS NURSING HOME,04/21/2020,3,2,3,5
Metropolitan Area Regional Office - New York City,KINGS,004418,NH,SAINTS JOACHIM & ANNE NURSING AND REHABILITATION CENTER,04/21/2020,1,0,0,27
Metropolitan Area Regional Office - New York City,KINGS,001364,NH,KING DAVID CENTER FOR NURSING AND REHABILITATION,04/21/2020,3,6,2,24
Metropolitan Area Regional Office - New York City,BRONX,001249,NH,TRIBORO CENTER FOR REHABILITATION AND NURSING,04/21/2020,3,0,3,11
Metropolitan Area Regional Office - New York City,BRONX,001234,NH,THE CITADEL REHAB AND NURSING CENTER AT KINGSBRIDGE,04/21/2020,5,0,0,43
Metropolitan Area Regional Office - New York City,KINGS,001409,NH,BEDFORD CENTER FOR NURSING AND REHABILITATION,04/21/2020,5,5,1,3
Metropolitan Area Regional Office - New York City,KINGS,001380,NH,"CATON PARK REHABILITATION AND NURSING CENTER, LLC",04/21/2020,1,0,0,1
Metropolitan Area Regional Office - New York City,KINGS,001430,NH,ATRIUM CENTER FOR REHABILITATION AND NURSING,04/21/2020,2,1,1,0
Central New York Regional Office,CHENANGO,000133,NH,NYS VETERANS HOME,04/21/2020,2,2,0,0
Metropolitan Area Regional Office - New York City,KINGS,001381,NH,"COBBLE HILL HEALTH CENTER, INC",04/21/2020,3,1,0,48
Metropolitan Area Regional Office - New York City,BRONX,001236,NH,MOSHOLU PARKWAY NURSING & REHABILITATION CENTER,04/21/2020,2,0,6,18
Metropolitan Area Regional Office - New York City,BRONX,004329,NH,HOPE CENTER FOR HIV AND NURSING CARE,04/21/2020,1,0,2,0
Central New York Regional Office,BROOME,000060,NH,"SUSQUEHANNA NURSING & REHABILITATION CENTER, LLC",04/21/2020,1,3,1,1
Metropolitan Area Regional Office - New York City,KINGS,001406,NH,BENSONHURST CENTER FOR REHABILITATION AND HEALTHCARE,04/21/2020,1,3,0,27
Metropolitan Area Regional Office - New York City,BRONX,004814,NH,THROGS NECK REHABILITATION & NURSING CENTER,04/21/2020,3,0,1,31
Capital District Regional Office,GREENE,000349,NH,THE PINES AT CATSKILL CENTER FOR NURSING & REHABILITATION,04/21/2020,1,0,1,0
Metropolitan Area Regional Office - New York City,BRONX,001246,NH,BRONX PARK REHABILITATION & NURSING CENTER,04/21/2020,3,4,11,14
Metropolitan Area Regional Office - New York City,KINGS,004285,NH,HAMILTON PARK NURSING AND REHABILITATION CENTER,04/21/2020,3,0,5,10
Metropolitan Area Regional Office - New York City,BRONX,001225,NH,THE PLAZA REHAB AND NURSING CENTER,04/21/2020,4,3,5,40
Western Regional Office - Buffalo,NIAGARA,000586,NH,NEWFANE REHAB & HEALTH CARE CENTER,04/21/2020,1,0,1,0
Metropolitan Area Regional Office - Long Island,NASSAU,000559,NH,"EXCEL AT WOODBURY FOR REHABILITATION AND NURSING, LLC",04/21/2020,4,19,0,5
Metropolitan Area Regional Office - New York City,QUEENS,001685,NH,LONG ISLAND CARE CENTER INC,04/21/2020,3,8,0,4
Metropolitan Area Regional Office - Long Island,NASSAU,000493,NH,GLEN COVE CENTER FOR NURSING AND REHABILITATION,04/21/2020,2,7,4,1
Metropolitan Area Regional Office - New York City,QUEENS,001670,NH,OZANAM HALL OF QUEENS NURSING HOME INC,04/21/2020,4,16,2,29
Metropolitan Area Regional Office - New York City,NEW YORK,001604,NH,HARLEM CENTER FOR NURSING AND REHABILITATION,04/21/2020,1,0,0,2
Capital District Regional Office,RENSSELAER,000772,NH,DIAMOND HILL NURSING AND REHABILITATION CENTER,04/21/2020,2,2,2,0
Western Regional Office - Rochester,MONROE,003392,NH,UNITY LIVING CENTER,04/21/2020,1,1,3,0
Metropolitan Area Regional Office - New York City,QUEENS,001687,NH,MEADOW PARK REHABILITATION AND HEALTH CARE CENTER LLC,04/21/2020,1,0,3,0
Western Regional Office - Rochester,MONROE,000470,NH,CREEKVIEW NURSING AND REHAB CENTER,04/21/2020,3,1,6,0
Metropolitan Area Regional Office - New York City,QUEENS,001682,NH,FOREST VIEW CENTER FOR REHABILITATION & NURSING,04/21/2020,2,1,1,1
Metropolitan Area Regional Office - Long Island,NASSAU,000496,NH,BEACH TERRACE CARE CENTER,04/21/2020,1,2,0,0
Metropolitan Area Regional Office - Long Island,NASSAU,003872,NH,WHITE OAKS REHABILITATION AND NURSING CENTER,04/21/2020,2,23,3,0
Metropolitan Area Regional Office - New York City,QUEENS,001736,NH,BEACON REHABILITATION AND NURSING CENTER,04/21/2020,4,4,9,7
Central New York Regional Office,ONEIDA,000593,NH,THE GRAND REHABILITATION AND NURSING AT ROME,04/21/2020,3,5,1,5
Metropolitan Area Regional Office - New York City,NEW YORK,001603,NH,"THE NEW JEWISH HOME, MANHATTAN",04/21/2020,4,32,3,6
Metropolitan Area Regional Office - New York City,QUEENS,001690,NH,PROMENADE REHABILITATION AND HEALTH CARE CENTER,04/21/2020,1,1,3,10
Metropolitan Area Regional Office - New York City,QUEENS,001700,NH,"WOODCREST REHABILITATION & RESIDENTIAL HEALTH CARE CENTER., LLC",04/21/2020,1,5,16,0
Metropolitan Area Regional Office - New Rochelle,ORANGE,000702,NH,THE VALLEY VIEW CENTER FOR NURSING CARE AND REHABILITATION,04/21/2020,3,29,6,0
