COVID-19 Vaccinations in the United States
Date generated: Tue Jan 18 2022 13:47:08 GMT-0500 (Eastern Standard Time)
'Other' includes doses of vaccine administered or delivered that are not from Pfizer-BioNTech Moderna or J&J.

State/Territory/Federal Entity,Total Doses Delivered,Doses Delivered per 100K,18+ Doses Delivered per 100K,Total Doses Administered by State where Administered,Doses Administered per 100k by State where Administered,18+ Doses Administered by State where Administered,18+ Doses Administered per 100K by State where Administered,People with at least One Dose by State of Residence,Percent of Total Pop with at least One Dose by State of Residence,People 18+ with at least One Dose by State of Residence,Percent of 18+ Pop with at least One Dose by State of Residence,People Fully Vaccinated by State of Residence,Percent of Total Pop Fully Vaccinated by State of Residence,People 18+ Fully Vaccinated by State of Residence,Percent of 18+ Pop Fully Vaccinated by State of Residence,Total Number of Pfizer doses delivered,Total Number of Moderna doses delivered,Total Number of Janssen doses delivered,Total Number of doses from Other manufacturer delivered,Total Number of Janssen doses administered,Total Number of Moderna doses administered,Total Number of Pfizer doses adminstered,Total Number of doses from Other manufacturer administered,People Fully Vaccinated Moderna Resident,People Fully Vaccinated Pfizer Resident,People Fully Vaccinated Janssen Resident,People Fully Vaccinated Other 2-dose manufacturer Resident,People 18+ Fully Vaccinated Moderna Resident,People 18+ Fully Vaccinated Pfizer Resident,People 18+ Fully Vaccinated Janssen Resident,People 18+ Fully Vaccinated Other 2-dose manufacturer Resident,People with 2 Doses by State of Residence,Percent of Total Pop with 1+ Doses by State of Residence,People 18+ with 1+ Doses by State of Residence,Percent of 18+ Pop with 1+ Doses by State of Residence,Percent of Total Pop with 2 Doses by State of Residence,People 18+ with 2 Doses by State of Residence,Percent of 18+ Pop with 2 Doses by State of Residence,People with 1+ Doses by State of Residence,People 65+ with at least One Dose by State of Residence,Percent of 65+ Pop with at least One Dose by State of Residence,People 65+ Fully Vaccinated by State of Residence,Percent of 65+ Pop Fully Vaccinated by State of Residence,People 65+ Fully Vaccinated_Moderna_Resident,People 65+ Fully Vaccinated_Pfizer_Resident,People 65+ Fully Vaccinated_Janssen_Resident,People 65+ Fully Vaccinated_Other 2-dose Manuf_Resident,65+ Doses Administered by State where Administered,Doses Administered per 100k of 65+ pop by State where Administered,Doses Delivered per 100k of 65+ pop,People 12+ with at least One Dose by State of Residence,Percent of 12+ Pop with at least One Dose by State of Residence,People 12+ Fully Vaccinated by State of Residence,Percent of 12+ Pop Fully Vaccinated by State of Residence,People 12+ Fully Vaccinated_Moderna_Resident,People 12+ Fully Vaccinated_Pfizer_Resident,People 12+ Fully Vaccinated_Janssen_Resident,People 12+ Fully Vaccinated_Other 2-dose Manuf_Resident,12+ Doses Administered by State where Administered,Doses Administered per 100k of 12+ pop by State where Administered,Doses Delivered per 100k of 12+ pop,People 5+ with at least One Dose by State of Residence,Percent of 5+ Pop with at least One Dose by State of Residence,People 5+ Fully Vaccinated by State of Residence,Percent of 5+ Pop Fully Vaccinated by State of Residence,People 5+ Fully Vaccinated_Moderna_Resident,People 5+ Fully Vaccinated_Pfizer_Resident,People 5+ Fully Vaccinated_Janssen_Resident,People 5+ Fully Vaccinated_Other 2-dose Manuf_Resident,5+ Doses Administered by State where Administered,Doses Administered per 100k of 5+ pop  by State where Administered,Doses Delivered per 100k of 5+ pop,People who have received a booster dose,Percent of fully vaccinated people with booster doses,People 18+ who have received a booster dose,Percent of fully vaccinated people 18+ with booster doses,People 50+ who have received a booster dose,Percent of fully vaccinated people 50+ with booster doses,People 65+ who have received a booster dose,Percent of fully vaccinated people 65+ with booster doses,People with Moderna booster dose,People with Pfizer booster dose,People with Janssen booster dose,People with booster dose of an Other manufacturer,Total Count People w/Booster Primary Pfizer Minus TX,Total Count People w/Booster Primary Moderna Minus TX,Total Count People w/Booster Primary J&J Minus TX,Total Count People w/Booster Primary Other Minus TX,Total Count People w/Booster Booster Pfizer Minus TX,Total Count People w/Booster Booster Moderna Minus TX,Total Count People w/Booster Booster J&J Minus TX,Total Count People w/Booster Booster Other Minus TX,Count People Primary Pfizer Booster Pfizer,Count People Primary Pfizer Booster Moderna,Count People Primary Pfizer Booster J&J,Count People Primary Pfizer Booster Uknown,Count People Primary Moderna Booster Pfizer,Count People Primary Moderna Booster Moderna,Count People Primary Moderna Booster J&J,Count People Primary Moderna Booster Uknown,Count People Primary J&J Booster Pfizer,Count People Primary J&J Booster Moderna,Count People Primary J&J Booster J&J,Count People Primary J&J Booster Other,Count People Primary Other Booster Pfizer,Count People Primary Other Booster Moderna,Count People Primary Other Booster J&J,Count People Primary Other Booster Other,Percent People Primary Pfizer Booster Pfizer,Percent People Primary Pfizer Booster Moderna,Percent People Primary Pfizer Booster J&J,Percent People Primary Pfizer Booster Other,Percent People Primary Moderna Booster Pfizer,Percent People Primary Moderna Booster Moderna,Percent People Primary Moderna Booster J&J,Percent People Primary Moderna Booster Other,Percent People Primary J&J Booster Pfizer,Percent People Primary J&J Booster Moderna,Percent People Primary J&J Booster J&J,Percent People Primary J&J Booster Other,Percent People Primary Other Booster Pfizer,Percent People Primary Other Booster Moderna,Percent People Primary Other Booster J&J,Percent People Primary Other Booster Uknown
District of Columbia,1682085,238340,291229,1336681,189399,1258811,217945,641823,90.9,590820,95,484791,68.7,451214,78.1,1015525,597560,69000,0,34882,487086,814205,508,168762,277801,37866,362,168688,244358,37828,340,N/A,90.9,N/A,95,64.8,423914,73.4,641823,96418,95,78077,89.4,41601,33593,2794,89,240770,275660,1925840,620630,95,472856,77.5,168754,265897,37847,358,1309828,214813,275863,641710,95,484767,73.4,168756,277786,37863,362,1336537,202389,254714,148761,30.7,146040,32.4,72635,41.9,39747,50.9,63505,84113,1125,18,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Dept of Defense,6328110,N/A,N/A,6998225,N/A,6585462,N/A,3920101,N/A,3688429,N/A,2906170,N/A,2734375,N/A,4039870,2078240,210000,0,311253,2336968,4327955,22049,905490,1722762,277663,255,905289,1551385,277451,250,N/A,N/A,N/A,N/A,0,2457718,0,3920101,337153,0,173395,0,59985,104174,9236,0,552379,0,0,3881376,0,2883668,0,905465,1700313,277635,255,6936887,0,0,3919931,0,2906106,0,905471,1722737,277643,255,6998003,0,0,1309,0,1305,0,169,0,34,0,454,845,10,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Delaware,2081535,213762,270262,1638375,168252,1508181,195819,763331,78.4,695934,90.4,633996,65.1,581213,75.5,1184455,803480,93600,0,59394,635730,941332,1919,225772,352579,55028,617,225636,300001,54968,608,N/A,78.4,N/A,90.4,61.2,543682,70.6,763331,205467,95,176105,93.2,72637,93302,9843,323,497556,263388,1101890,741978,88.4,620153,73.8,225759,338761,55017,616,1602228,190785,247859,763181,83,633967,69,225761,352565,55024,617,1638201,178250,226489,244134,38.5,240842,41.4,179704,53.1,110181,62.6,107588,132364,4165,17,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Florida,43389445,202021,251565,34695800,161543,32414095,187932,16276201,75.8,15039426,87.2,13765229,64.1,12813483,74.3,25317985,15764260,2307200,0,1416890,12916437,20239569,122904,4735649,7682723,1311149,35708,4733647,6735079,1309483,35274,N/A,75.8,N/A,87.2,59.4,11801017,68.4,16276201,4677089,95,4013919,89.3,1931344,1850689,211412,20474,11395005,253372,964781,15947522,85.3,13560815,72.5,4734867,7479999,1310314,35635,34148763,182653,232078,16268258,80,13763568,67.7,4734930,7682583,1310352,35703,34686913,170552,213342,4847174,35.2,4793893,37.4,3628989,48.7,2279437,56.8,2132804,2621140,88770,4460,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Federated States of Micronesia,114700,112099,171902,85759,83815,82285,123321,49812,48.7,47441,71.1,43343,42.4,42264,63.3,20060,82440,12200,0,12813,69325,3613,8,30097,1271,11970,5,30092,220,11947,5,N/A,48.7,N/A,71.1,32,31729,47.6,49812,3692,76.7,3430,71.3,2337,15,1078,0,6534,135786,2383620,49126,62.1,43330,54.7,30096,1267,11962,5,85020,107427,144929,49807,53.7,43339,46.7,30097,1271,11966,5,85754,92386,123571,4215,9.7,4212,10,1622,12.8,455,13.3,3863,21,331,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Georgia,19455135,183238,239786,13748361,129489,12692900,156441,6611416,62.3,6012699,74.1,5502016,51.8,5075775,62.6,11161175,7490660,803300,0,325367,5427707,7959007,36280,2079351,3107772,304171,10722,2078370,2684093,303705,9607,N/A,62.3,N/A,74.1,49.6,4843681,59.7,6611416,1407059,92.8,1232310,81.2,671312,524037,34625,2336,3345417,220535,1282510,6449132,71.8,5413180,60.2,2079270,3019198,304051,10661,13489762,150085,216454,6609765,66.4,5501774,55.2,2079298,3107671,304087,10718,13746507,138005,195316,1727425,31.4,1704919,33.6,1149113,43.4,631341,51.2,792349,913036,20923,1117,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Guam,291260,172866,254278,301531,178962,266060,232278,142919,84.8,123262,95,128760,76.4,113474,95,189180,79580,22500,0,11965,96865,192636,65,38519,79605,10626,10,38503,64344,10617,10,N/A,84.8,N/A,95,70.7,103790,90.6,142919,17110,95,16074,95,6591,8893,585,5,42704,265886,1813460,138178,95,126537,95,38518,77384,10625,10,294487,224258,221801,142899,93.5,128759,84.3,38518,79605,10626,10,301510,197374,190664,37350,29,36989,32.6,22735,50.8,9794,60.9,14482,22107,761,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Hawaii,3130920,221130,280547,2650301,187185,2404405,215448,1187999,83.9,1058492,94.8,1056688,74.6,948904,85,1859960,1147360,123600,0,68848,969212,1611965,276,355690,637175,63808,15,354823,530463,63603,15,N/A,83.9,N/A,94.8,71.4,903304,80.9,1187999,268527,95,243613,90.7,106679,125048,11881,5,677056,252211,1166300,1141903,94.3,1024498,84.6,355638,605066,63779,15,2572399,212400,258517,1186938,89.2,1056515,79.4,355643,637076,63781,15,2649760,199132,235292,443538,42,434567,45.8,296503,61.1,173054,71,199647,239197,4693,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Iowa,5893925,186808,242725,4754093,150681,4377421,180272,2076073,65.8,1880216,77.4,1882618,59.7,1716780,70.7,3379385,2233340,281200,0,173163,1903385,2677093,452,698936,1025118,158273,291,698721,859589,158182,288,N/A,65.8,N/A,77.4,56.2,1606101,66.1,2076073,543238,95,506659,91.6,266278,225844,14413,124,1429751,258566,1065900,2008880,75.1,1831495,68.4,698922,974013,158270,290,4634858,173183,220228,2075970,70.1,1882610,63.6,698932,1025116,158271,291,4753994,160639,199157,904059,48,891845,51.9,628854,65.3,381698,75.3,421884,469965,12193,17,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Idaho,3053470,170865,228064,2070084,115837,2068081,154465,942804,52.8,938736,70.1,833352,46.6,830596,62,1728110,1172960,152400,0,81226,854097,1131718,3043,317801,438779,76053,719,317774,436081,76031,710,N/A,52.8,N/A,70.1,43.3,771295,57.6,942804,271053,93.3,247165,85,113593,121251,12019,302,671155,230899,1050490,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,345038,41.4,344988,41.5,248283,54.1,155513,62.9,151815,188137,5016,70,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
